,genero,plataforma
0,comedy,amazon
1, drama,amazon
2,drama,amazon
3, international,amazon
4,action,amazon
5, drama,amazon
6, suspense,amazon
7,documentary,amazon
8,drama,amazon
9, fantasy,amazon
10,fantasy,amazon
11, kids,amazon
12,documentary,amazon
13, special interest,amazon
14,comedy,amazon
15,action,amazon
16, science fiction,amazon
17, suspense,amazon
18,drama,amazon
19,adventure,amazon
20, kids,amazon
21,comedy,amazon
22,horror,amazon
23, suspense,amazon
24,documentary,amazon
25, sports,amazon
26,documentary,amazon
27,comedy,amazon
28, drama,amazon
29,horror,amazon
30, science fiction,amazon
31,kids,amazon
32, special interest,amazon
33,comedy,amazon
34, talk show and variety,amazon
35,science fiction,amazon
36,kids,amazon
37,action,amazon
38, anime,amazon
39, comedy,amazon
40,arts,amazon
41, entertainment,amazon
42, and culture,amazon
43, comedy,amazon
44, drama,amazon
45,tv shows,amazon
46,drama,amazon
47,documentary,amazon
48,tv shows,amazon
49,comedy,amazon
50, drama,amazon
51,animation,amazon
52, anime,amazon
53, fantasy,amazon
54,action,amazon
55, adventure,amazon
56, animation,amazon
57,anime,amazon
58, kids,amazon
59,tv shows,amazon
60,drama,amazon
61,music videos and concerts,amazon
62,music videos and concerts,amazon
63,drama,amazon
64, suspense,amazon
65,drama,amazon
66,comedy,amazon
67, drama,amazon
68,fitness,amazon
69, special interest,amazon
70,faith and spirituality,amazon
71, special interest,amazon
72,fitness,amazon
73, special interest,amazon
74,special interest,amazon
75,fitness,amazon
76,fitness,amazon
77, special interest,amazon
78,fitness,amazon
79, special interest,amazon
80,fitness,amazon
81, special interest,amazon
82,special interest,amazon
83,fitness,amazon
84, special interest,amazon
85,fitness,amazon
86, special interest,amazon
87,fitness,amazon
88, special interest,amazon
89,fitness,amazon
90, special interest,amazon
91,special interest,amazon
92,action,amazon
93, military and war,amazon
94, western,amazon
95,arts,amazon
96, entertainment,amazon
97, and culture,amazon
98, comedy,amazon
99, talk show and variety,amazon
100,drama,amazon
101, international,amazon
102,drama,amazon
103, international,amazon
104,action,amazon
105, western,amazon
106,documentary,amazon
107, science fiction,amazon
108,adventure,amazon
109, animation,amazon
110, kids,amazon
111,fantasy,amazon
112, science fiction,amazon
113, suspense,amazon
114,suspense,amazon
115,action,amazon
116,documentary,amazon
117, lgbtq,amazon
118,drama,amazon
119, romance,amazon
120, suspense,amazon
121,comedy,amazon
122, special interest,amazon
123, unscripted,amazon
124,tv shows,amazon
125,unscripted,amazon
126,drama,amazon
127,documentary,amazon
128,documentary,amazon
129, military and war,amazon
130,music videos and concerts,amazon
131,tv shows,amazon
132,kids,amazon
133,drama,amazon
134,kids,amazon
135,documentary,amazon
136, special interest,amazon
137,kids,amazon
138,kids,amazon
139,animation,amazon
140, kids,amazon
141,action,amazon
142, drama,amazon
143,drama,amazon
144, suspense,amazon
145,comedy,amazon
146,drama,amazon
147,drama,amazon
148,kids,amazon
149,tv shows,amazon
150,comedy,amazon
151, documentary,amazon
152, unscripted,amazon
153,comedy,amazon
154, documentary,amazon
155, unscripted,amazon
156,action,amazon
157, drama,amazon
158,western,amazon
159,action,amazon
160, drama,amazon
161, sports,amazon
162,documentary,amazon
163, special interest,amazon
164,documentary,amazon
165, special interest,amazon
166,arts,amazon
167, entertainment,amazon
168, and culture,amazon
169, comedy,amazon
170,arts,amazon
171, entertainment,amazon
172, and culture,amazon
173, comedy,amazon
174, special interest,amazon
175,documentary,amazon
176, international,amazon
177, special interest,amazon
178,action,amazon
179, drama,amazon
180,action,amazon
181, drama,amazon
182,documentary,amazon
183, special interest,amazon
184,comedy,amazon
185, science fiction,amazon
186,documentary,amazon
187, special interest,amazon
188,kids,amazon
189,action,amazon
190,documentary,amazon
191, special interest,amazon
192,drama,amazon
193, western,amazon
194,documentary,amazon
195,tv shows,amazon
196,arts,amazon
197, entertainment,amazon
198, and culture,amazon
199,drama,amazon
200, special interest,amazon
201,documentary,amazon
202,comedy,amazon
203,arts,amazon
204, entertainment,amazon
205, and culture,amazon
206, comedy,amazon
207, special interest,amazon
208,drama,amazon
209, suspense,amazon
210,action,amazon
211, science fiction,amazon
212,documentary,amazon
213, faith and spirituality,amazon
214, special interest,amazon
215,drama,amazon
216,drama,amazon
217,action,amazon
218, drama,amazon
219, special interest,amazon
220,animation,amazon
221, kids,amazon
222,animation,amazon
223, kids,amazon
224,animation,amazon
225, kids,amazon
226,animation,amazon
227, kids,amazon
228,drama,amazon
229, young adult audience,amazon
230,drama,amazon
231, military and war,amazon
232,drama,amazon
233,arthouse,amazon
234, drama,amazon
235,drama,amazon
236,comedy,amazon
237,documentary,amazon
238, kids,amazon
239, special interest,amazon
240,unscripted,amazon
241,documentary,amazon
242, special interest,amazon
243,comedy,amazon
244,suspense,amazon
245,action,amazon
246, adventure,amazon
247, comedy,amazon
248,sports,amazon
249,military and war,amazon
250, western,amazon
251,action,amazon
252, comedy,amazon
253, drama,amazon
254,animation,amazon
255, kids,amazon
256,kids,amazon
257,anime,amazon
258,tv shows,amazon
259,documentary,amazon
260, special interest,amazon
261,comedy,amazon
262, international,amazon
263,drama,amazon
264, romance,amazon
265,drama,amazon
266, horror,amazon
267, suspense,amazon
268,drama,amazon
269,comedy,amazon
270,documentary,amazon
271, special interest,amazon
272,documentary,amazon
273,tv shows,amazon
274,kids,amazon
275,comedy,amazon
276,documentary,amazon
277, special interest,amazon
278,action,amazon
279, drama,amazon
280, suspense,amazon
281,action,amazon
282, drama,amazon
283, suspense,amazon
284,special interest,amazon
285,comedy,amazon
286, drama,amazon
287,animation,amazon
288, comedy,amazon
289, kids,amazon
290,animation,amazon
